id,crew_name_directing,title,release_year,return,budget,revenue
8068,robert rodriguez,desperado,1995,3.629,7000000,25405445
8512,carl franklin,devil in a blue dress,1995,0.598,27000000,16140822
1572,john mctiernan,die hard: with a vengeance,1995,4.068,90000000,366101666
13552,gregg araki,the doom generation,1995,0.000,0,0
259209,christopher menaul,feast of july,1995,0.000,0,0
6520,jerry zucker,first knight,1995,2.320,55000000,127600435
9073,dwight h. little,free willy 2 - the adventure home,1995,0.000,0,0
10428,iain softley,hackers,1995,0.378,20000000,7563728
17447,christopher ashley,jeffrey,1995,0.000,0,0
9886,robert longo,johnny mnemonic,1995,0.763,25000000,19075720
9482,danny cannon,judge dredd,1995,1.261,90000000,113493481
19326,john fortenberry,jury duty,1995,17014653.000,0,17014653
9344,larry clark,kids,1995,4.941,1500000,7412216
9071,tom dicillo,living in oblivion,1995,2.298,500000,1148752
8973,clive barker,lord of illusions,1995,0.000,0,0
15730,denys arcand,love & human remains,1993,0.000,0,0
47608,antonia bird,mad love,1995,15453274.000,0,15453274
2293,kevin smith,mallrats,1995,0.354,6000000,2122561
9070,bryan spicer,mighty morphin power rangers: the movie,1995,4.400,15000000,66000000
68274,david anspaugh,moonlight and valentino,1995,0.000,0,0
48787,anthony waller,mute witness,1995,0.500,2,1
34574,michael almereyda,nadja,1994,0.000,0,0
1642,irwin winkler,the net,1995,5.029,22000000,110627965
11472,chris columbus,nine months,1995,69660733.000,0,69660733
36196,daisy von scherler mayer,party girl,1995,3.149,150000,472370
11980,gregory widen,the prophecy,1995,2.000,8,16
58372,norman rené,reckless,1995,0.000,0,0
32646,todd haynes,safe,1995,0.000,0,0
10533,roland joffé,the scarlet letter,1995,0.208,50000000,10382407
10802,paul verhoeven,showgirls,1995,0.452,45000000,20350754
10149,wayne wang,smoke,1995,1.193,7000000,8349430
18402,lasse hallström,something to talk about,1995,50892160.000,0,50892160
9348,roger donaldson,species,1995,3.239,35000000,113374103
139408,james keach,the stars fell on henrietta,1995,0.000,0,0
281,kathryn bigelow,strange days,1995,0.190,42000000,7959291
5967,jacques demy,the umbrellas of cherbourg,1964,0.000,0,0
79593,wesley strick,the tie that binds,1995,0.413,14000000,5780000
47939,martha coolidge,three wishes,1995,7025496.000,0,7025496
36834,agnieszka holland,total eclipse,1995,339889.000,0,339889
9090,beeban kidron,"to wong foo, thanks for everything! julie newmar",1995,47774193.000,0,47774193
3512,geoff murphy,under siege 2: dark territory,1995,1.739,60000000,104324083
52856,diane keaton,unstrung heroes,1995,0.000,0,0
77350,douglas keeve,unzipped,1995,0.000,0,0
9560,alfonso aráu,a walk in the clouds,1995,2.501,20000000,50012507
9804,kevin reynolds,waterworld,1995,1.510,175000000,264218220
31611,desmond nakano,white man's burden,1995,0.000,8000000,0
65796,walter hill,wild bill,1995,0.000,30000000,0
49805,mike figgis,the browning version,1994,0.000,0,0
26258,greg beeman,bushwhacked,1995,0.000,0,0
50797,nikita mikhalkov,burnt by the sun,1994,0.934,2800000,2616503
19155,milčo mančevski,before the rain,1994,763847.000,0,763847
76,richard linklater,before sunrise,1995,2.214,2500000,5535405
11017,tamra davis,billy madison,1995,2.649,10000000,26488734
37141,guy ferland,the babysitter,1995,0.000,0,0
9382,herbert ross,boys on the side,1995,1.117,21000000,23450000
6715,peter horton,the cure,1995,0.000,0,0
18256,stuart gordon,castle freak,1995,0.000,0,0
22625,pat o'connor,circle of friends,1995,0.000,0,0
2292,kevin smith,clerks,1994,116.709,27000,3151130
1909,jeremy leven,don juan demarco,1994,0.888,25000000,22200000
8984,barry levinson,disclosure,1994,3.891,55000000,214015089
61813,rené bonnière,dream man,1995,0.000,0,0
4954,john badham,drop zone,1994,0.000,45000000,0
62488,jack baran,destiny turns on the radio,1995,0.000,0,0
10531,roman polanski,death and the maiden,1994,0.000,0,0
11929,taylor hackford,dolores claiborne,1995,0.000,0,0
8467,peter farrelly,dumb and dumber,1994,15.455,16000000,247275374
10451,ang lee,eat drink man woman,1994,7294403.000,0,7294403
20156,atom egoyan,exotica,1994,0.000,0,0
18395,garry marshall,exit to eden,1994,6841570.000,0,6841570
522,tim burton,ed wood,1994,0.327,18000000,5887457
397,lawrence kasdan,french kiss,1995,0.000,0,0
10525,billy crystal,forget paris,1995,0.000,0,0
27985,phillip borsos,far from home: the adventures of yellow dog,1995,0.000,0,0
15789,kevin lima,a goofy movie,1995,35348597.000,0,35348597
27303,brett leonard,hideaway,1995,0.813,15000000,12201255
21183,carlo carlei,fluke,1995,0.000,0,0
10954,gérard corbiau,farinelli,1994,0.000,0,0
47867,mark lewis,gordy,1995,3992809.000,0,3992809
43475,art clokey,gumby: the movie,1995,0.000,0,0
72031,charles burnett,the glass shield,1994,0.000,0,0
14275,steve james,hoop dreams,1994,11.187,700000,7830611
1024,peter jackson,heavenly creatures,1994,0.610,5000000,3049135
17207,randall miller,houseguest,1995,2.507,10500000,26325256
13701,bernard rose,immortal beloved,1994,0.000,120,0
14819,steven brill,heavyweights,1995,17689177.000,0,17689177
32631,j. f. lawton,the hunted,1995,0.000,0,0
11777,fred schepisi,i.q.,1994,0.000,25000000,0
628,neil jordan,interview with the vampire,1994,3.728,60000000,223664608
87729,james ivory,jefferson in paris,1995,0.177,14000000,2474000
18713,james melkonian,the jerky boys,1995,0.000,0,0
6280,ivan reitman,junior,1994,0.617,60000000,37000000
9061,arne glimcher,just cause,1995,0.000,0,0
37108,michael gottlieb,a kid in king arthur's court,1995,0.000,0,0
6071,barbet schroeder,kiss of death,1995,0.000,40000000,0
11,george lucas,star wars,1977,70.491,11000000,775398007
9587,gillian armstrong,little women,1994,0.000,18000000,0
19101,alfonso cuarón,a little princess,1995,0.000,17000000,0
49980,ken loach,ladybird ladybird,1994,0.000,0,0
17961,claude chabrol,l'enfer,1994,0.000,10000000,0
18183,alfonso aráu,like water for chocolate,1992,10.833,2000000,21665468
4476,edward zwick,legends of the fall,1994,5.355,30000000,160638883
11008,nick castle,major payne,1995,0.000,0,0
47504,james gray,little odessa,1994,0.000,0,0
32325,allison anders,mi vida loca,1994,0.000,0,0
43742,glenn gordon caron,love affair,1994,0.000,60000000,0
28313,stephen gyllenhaal,losing isaiah,1995,0.447,17000000,7603766
11318,nicholas hytner,the madness of king george,1994,0.000,0,0
3036,kenneth branagh,mary shelley's frankenstein,1994,2.489,45000000,112006296
40490,james orr,man of the house,1995,0.000,0,0
24070,nora ephron,mixed nuts,1994,0.000,15000000,0
8986,richard benjamin,milk money,1994,18137661.000,0,18137661
10510,les mayfield,miracle on 34th street,1994,46264384.000,0,46264384
17402,david frankel,miami rhapsody,1995,0.833,6,5
38722,gregory nava,my family,1995,0.000,5500000,0
8438,marc rocco,murder in the first,1995,17381942.000,0,17381942
11593,robert benton,nobody's fool,1994,0.000,0,0
1945,michael apted,nell,1994,3.441,31000000,106683817
39310,nick gomez,new jersey drive,1995,0.000,0,0
109560,tōru murakawa,new york cop,1993,0.000,0,0
56428,vadim jean,beyond bedlam,1994,0.000,4800000,0
63105,albert pyun,nemesis 2 - nebula,1995,0.000,0,0
131957,alan jacobs,nina takes a lover,1995,0.000,0,0
241,oliver stone,natural born killers,1994,1.479,34000000,50282766
9058,norman jewison,only you,1994,0.000,0,0
527,lee tamahori,once were warriors,1994,2201126.000,0,2201126
18220,anne goursaud,poison ivy ii: lily,1996,0.000,0,0
6950,wolfgang petersen,outbreak,1995,3.797,50000000,189859560
101,luc besson,leon: the professional,1994,2.830,16000000,45284974
63020,mira nair,the perez family,1995,0.258,11000000,2832826
2307,joshua brand,a pyromaniac's love story,1995,0.000,0,0
680,quentin tarantino,pulp fiction,1994,26.741,8000000,213928762
41478,mario van peebles,panther,1995,6834525.000,0,6834525
25296,ang lee,pushing hands,1992,0.381,400000,152322
40156,antonia bird,priest,1994,4176932.000,0,4176932
11450,robert redford,quiz show,1994,0.000,0,0
30304,kayo hatta,picture bride,1995,0.000,0,0
10452,patrice chéreau,queen margot,1994,0.000,0,0
12106,sam raimi,the quick and the dead,1995,0.580,32000000,18552460
161495,peter yates,roommates,1995,0.564,22000000,12400000
3586,robert altman,prêt-à-porter,1994,0.753,15000000,11300653
110,krzysztof kieślowski,three colors: red,1994,0.000,0,0
108,krzysztof kieślowski,three colors: blue,1993,0.000,0,0
109,krzysztof kieślowski,three colors: white,1994,0.000,0,0
159185,he ping,"red firecracker, green firecracker",1994,0.000,0,0
36357,fred gerber,rent-a-kid,1995,0.000,0,0
92769,george mihalka,relative fear,1995,0.000,0,0
28033,harold ramis,stuart saves his family,1995,0.000,0,0
22586,richard rich,the swan princess,1994,0.279,35000000,9771658
14334,john sayles,the secret of roan inish,1994,0.000,0,0
2636,luis llosa,the specialist,1994,3.786,45000000,170362582
2164,roland emmerich,stargate,1994,3.574,55000000,196567262
11395,john pasquin,the santa clause,1994,8.629,22000000,189833357
278,frank darabont,the shawshank redemption,1994,1.134,25000000,28341469
9905,danny boyle,shallow grave,1994,0.000,0,0
87078,scott mcgehee,suture,1993,102780.000,0,102780
12527,tomás gutiérrez alea,strawberry and chocolate,1993,0.000,0,0
20306,george huang,swimming with sharks,1994,0.000,0,0
36614,kevin dowling,the sum of us,1994,0.000,32,0
27993,kelly makin,senior trip,1995,0.000,0,0
31439,zhang yimou,to live,1994,0.000,0,0
9067,rachel talalay,tank girl,1995,0.163,25000000,4064495
9059,ernest r. dickerson,tales from the crypt: demon knight,1995,0.000,0,0
193,david carson,star trek: generations,1994,3.158,38000000,120000000
25066,rusty cundieff,tales from the hood,1995,2.000,6000000,12000000
46797,brian gilbert,tom & viv,1994,0.000,0,0
12122,john carpenter,village of the damned,1995,0.000,0,0
11381,peter segal,tommy boy,1995,32648673.000,0,32648673
32636,louis malle,vanya on 42nd street,1994,0.000,0,0
36141,steven soderbergh,the underneath,1995,0.000,6500000,0
95963,preston a. whitmore ii,the walking dead,1995,0.000,0,0
1587,lasse hallström,what's eating gilbert grape,1993,0.912,11000000,10032765
9271,brett leonard,virtuosity,1995,0.802,30000000,24048000
2064,jon turteltaub,while you were sleeping,1995,10.709,17000000,182057016
19855,jon avnet,the war,1994,0.000,0,0
60855,mina shum,double happiness,1994,759393.000,0,759393
236,p.j. hogan,muriel's wedding,1994,5.040,3000000,15119639
48287,melanie mayron,the baby-sitters club,1995,0.000,0,0
3049,tom shadyac,ace ventura: pet detective,1994,7.148,15000000,107217396
2759,stephan elliott,"the adventures of priscilla, queen of the desert",1994,11220670.000,0,11220670
12635,iain softley,backbeat,1994,0.000,0,0
10497,roman polanski,bitter moon,1992,0.373,5000000,1862805
11382,woody allen,bullets over broadway,1994,0.000,0,0
9331,phillip noyce,clear and present danger,1994,3.482,62000000,215887717
10731,joel schumacher,the client,1994,2.614,45000000,117615211
10464,jessie nelson,"corrina, corrina",1994,0.000,0,0
34152,spike lee,crooklyn,1994,0.000,0,0
9495,alex proyas,the crow,1994,6.267,15000000,94000000
29973,ron shelton,cobb,1994,1007583.000,0,1007583
888,brian levant,the flintstones,1994,7.427,46000000,341631208
13,robert zemeckis,forrest gump,1994,12.326,55000000,677945399
712,mike newell,four weddings and a funeral,1994,42.450,6000000,254700832
16295,john singleton,higher learning,1995,38290723.000,0,38290723
48992,darnell martin,i like it like that,1994,1777020.000,0,1777020
10879,charles shyer,i love trouble,1994,1.377,45000000,61947267
10660,andrew bergman,it could happen to you,1994,0.000,0,0
10714,stephen sommers,the jungle book,1994,0.000,0,0
41647,ray müller,"the wonderful, horrible life of leni riefenstahl",1993,449707.000,0,449707
8587,roger allers,the lion king,1994,17.516,45000000,788241776
1689,bernardo bertolucci,little buddha,1993,0.139,35000000,4858139
11596,wes craven,new nightmare,1994,1.292,14000000,18090181
854,chuck russell,the mask,1994,15.286,23000000,351583407
9359,richard donner,maverick,1994,0.000,0,0
23333,alan rudolph,mrs. parker and the vicious circle,1994,0.000,0,0
36593,peter segal,the naked gun 33⅓: the final insult,1994,1.704,30000000,51132598
12280,ron howard,the paper,1994,0.000,6000000,0
2788,ben stiller,reality bites,1994,1.746,11500000,20079850
10427,john dahl,red rock west,1993,0.250,8000000,2000000
11011,donald petrie,ri¢hie ri¢h,1994,0.000,40000000,0
49803,robert allan ackerman,safe passage,1994,0.000,0,0
8987,curtis hanson,the river wild,1994,0.000,45000000,0
1637,jan de bont,speed,1994,11.682,30000000,350448145
15128,ron underwood,speechless,1994,0.000,0,0
8831,peter hyams,timecop,1994,3.765,27000000,101646581
36955,james cameron,true lies,1994,3.295,115000000,378882411
10449,luis mandoki,when a man loves a woman,1994,50021959.000,0,50021959
10395,mike nichols,wolf,1994,0.000,0,0
12160,lawrence kasdan,wyatt earp,1994,0.398,63000000,25052000
40480,damian harris,bad company,1995,0.000,0,0
52038,suri krishnamma,a man of no importance,1994,953.000,0,953
29444,jefery levy,s.f.w.,1994,0.000,0,0
26352,keenen ivory wayans,a low down dirty shame,1994,2.939,10000000,29392418
39953,robert lee king,"boys life: three stories of love, lust, and liberation",1994,0.000,0,0
41580,yves angelo,colonel chabert,1994,0.000,0,0
315,russ meyer,"faster, pussycat! kill! kill!",1965,0.000,45000,0
22067,doug mchenry,jason's lyric,1994,2.979,7000000,20851521
18242,dave borthwick,the secret adventures of tom thumb,1993,0.000,0,0
11667,steven e. de souza,street fighter,1994,2.841,35000000,99423521
32502,wallace wolodarsky,coldblooded,1995,0.000,0,0
267188,michael a. nickles,desert winds,1997,0.000,0,0
28732,paul warner,fall time,1995,0.000,0,0
75555,vincent robert,the fear,1995,0.000,0,0
42981,theodore thomas,frank and ollie,1995,0.000,0,0
278939,lucas platt,girl in the cadillac,1995,0.000,0,0
291731,ross kagan marks,homage,1995,0.000,0,0
226229,paul williams,mirage,1995,0.000,0,0
203119,robert wuhl,open season,1996,0.000,0,0
172923,roberto sneider,dos crímenes,1995,0.000,0,0
316098,jack baxter,brother minister: the assassination of malcolm x,1995,0.000,0,0
8011,andrew morahan,highlander: the final dimension,1994,1.415,26000000,36800000
171857,michael corrente,federal hill,1995,0.000,0,0
2654,john carpenter,in the mouth of madness,1994,1.118,8000000,8946600
18069,john g. avildsen,8 seconds,1994,0.000,0,0
19092,jeff pollack,above the rim,1994,0.000,0,0
2758,barry sonnenfeld,addams family values,1993,48919043.000,0,48919043
38129,thomas schlamme,martin lawrence: you so crazy,1994,0.000,0,0
10436,martin scorsese,the age of innocence,1993,0.949,34000000,32255440
13595,michael lehmann,airheads,1994,0.000,0,0
46094,paul michael glaser,the air up there,1994,1.230,17080000,21011500
9409,john badham,another stakeout,1993,0.000,0,0
11853,jonathan kaplan,bad girls,1994,15240435.000,0,15240435
16771,whit stillman,barcelona,1994,0.000,3200000,0
46924,bill forsyth,being human,1994,0.000,40000000,0
11041,penelope spheeris,the beverly hillbillies,1993,0.000,0,0
306,john landis,beverly hills cop iii,1994,2.384,50000000,119208989
14522,caroline thompson,black beauty,1994,0.000,0,0
26203,michael apted,blink,1994,16668552.000,0,16668552
178,stephen hopkins,blown away,1994,30156002.000,0,30156002
19819,william friedkin,blue chips,1994,0.000,0,0
57834,tony richardson,blue sky,1994,0.000,0,0
4722,abel ferrara,body snatchers,1993,0.033,13000000,428868
18215,jennifer chambers lynch,boxing helena,1993,1796389.000,0,1796389
1607,robert de niro,a bronx tale,1993,0.786,22000000,17287898
26391,adam resnick,cabin boy,1994,3662459.000,0,3662459
117553,john whitesell,calendar girl,1993,0.198,13000000,2570145
6075,brian de palma,carlito's way,1993,1.217,30000000,36516012
11310,paul weiland,city slickers ii: the legend of curly's gold,1994,0.000,0,0
18658,mick jackson,clean slate,1994,7355425.000,0,7355425
9350,renny harlin,cliffhanger,1993,3.643,70000000,255000211
9612,steve barron,coneheads,1993,0.000,0,0
2124,richard rush,color of night,1994,0.493,40000000,19726050
26261,michael ritchie,cops & robbersons,1994,0.000,0,0
19176,gregg champion,the cowboy way,1994,0.000,0,0
49299,abel ferrara,dangerous game,1993,0.000,0,0
11566,ivan reitman,dave,1993,63000000.000,0,63000000
9571,richard linklater,dazed and confused,1993,1.158,6900000,7993039
9739,marco brambilla,demolition man,1993,2.790,57000000,159055768
24257,bruce brown,the endless summer 2,1994,0.000,0,0
34444,gus van sant,even cowgirls get the blues,1994,0.000,8000000,0
26141,carl reiner,fatal instinct,1993,0.000,0,0
10997,chen kaige,farewell my concubine,1993,0.000,0,0
50463,donald petrie,the favor,1994,0.000,0,0
10443,peter weir,fearless,1993,0.000,0,0
20239,rusty cundieff,fear of a black hat,1994,0.000,0,0
16297,alek keshishian,with honors,1994,0.000,0,0
18551,steve kloves,flesh and bone,1993,9488998.000,0,9488998
25440,john irvin,widows' peak,1994,0.000,0,0
9024,barry sonnenfeld,for love or money,1993,0.372,30000000,11146270
37233,sydney pollack,the firm,1993,6.434,42000000,270248367
1634,simon wincer,free willy,1993,7.685,20000000,153698625
13815,boaz yakin,fresh,1994,0.000,0,0
5503,andrew davis,the fugitive,1993,8.384,44000000,368875760
35588,walter hill,geronimo: an american legend,1993,0.532,35000000,18635620
2087,roger donaldson,the getaway,1994,30.000,0,30
41579,howard deutch,getting even with dad,1994,0.000,30000000,0
18620,rose troche,go fish,1994,0.000,0,0
41006,bruce beresford,a good man in africa,1994,0.000,0,0
4916,sidney lumet,guilty as sin,1993,22886222.000,0,22886222
2019,john woo,hard target,1993,4.122,18000000,74189677
31642,oliver stone,heaven & earth,1993,0.000,33000000,0
9255,jim abrahams,hot shots! part deux,1993,5.350,25000000,133752825
26271,julianna lavin,live nude girls,1995,0.000,0,0
10612,christopher monger,the englishman who went up a hill but came down a mountain,1995,0.000,0,0
2259,bille august,the house of the spirits,1993,0.000,25000000,0
16097,eric meza,house party 3,1994,0.000,0,0
11934,joel coen,the hudsucker proxy,1994,0.000,30000000,0
106143,james l. brooks,i'll do anything,1994,0.000,40000000,0
12475,"daniel petrie, jr.",in the army now,1994,28881266.000,0,28881266
9386,wolfgang petersen,in the line of fire,1993,4.425,40000000,176997168
7984,jim sheridan,in the name of the father,1993,5.061,13000000,65796862
59930,matty rich,the inkwell,1994,8880705.000,0,8880705
15765,brian gibson,what's love got to do with it,1993,0.000,0,0
31643,barry levinson,jimmy hollywood,1994,0.000,30000000,0
6,stephen hopkins,judgment night,1993,12136938.000,0,12136938
329,steven spielberg,jurassic park,1993,14.605,63000000,920100000
10909,dominic sena,kalifornia,1993,0.266,9000000,2395231
507,roger avary,killing zoe,1993,0.279,1500000,418961
34024,steven soderbergh,king of the hill,1993,0.000,0,0
29918,daniel petrie,lassie,1994,0.000,0,0
9593,john mctiernan,last action hero,1993,1.615,85000000,137298489
